,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,SATELLITE,SINK,SMARTPHONE,STOV,TABLET,TEL,TEN,VEH,WATFP,YBL,GRNTP,GRPIP,HHL,HHLANP,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,NRC,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL
1382,3101,2,1.0,1,2,7,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,1700.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,11,1782.0,71.0,1.0,9500.0,7.0,30000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,51.0,3.0,6.0,1.0
1383,3105,6,1.0,1,3,2,2.0,2.0,2.0,3.0,180.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,950.0,1,2.0,1,1.0,1,2.0,1.0,3.0,5.0,3.0,8,1280.0,101.0,2.0,1200.0,1.0,11000.0,0.0,3.0,3.0,3.0,1,2.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,81.51,1.0,4.0,1.0
1384,3103,1,1.0,1,1,9,1.0,2.0,2.0,3.0,50.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,21,1352.0,29.0,1.0,9500.0,4.0,56000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,22.0,6.0,5.0,0.0
1385,3105,2,1.0,1,3,2,1.0,2.0,2.0,3.0,120.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,900.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,3.0,3,1074.0,101.0,2.0,1200.0,5.0,450.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,2,1,0.0,83.47,1.0,3.0,1.0
1386,3104,5,1.0,1,2,3,1.0,2.0,2.0,3.0,70.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1,4,2.0,1300.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,3.0,8,1453.0,101.0,4.0,2575.0,1.0,2000.0,0.0,3.0,3.0,3.0,1,2.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1,0.0,1.0,0.0,0.0,3,1,0.0,64.35,1.0,5.0,1.0
1387,3104,6,1.0,1,3,7,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,1400.0,1,2.0,1,1.0,1,1.0,1.0,3.0,2.0,3.0,7,1508.0,17.0,3.0,1440.0,1.0,107500.0,1.0,3.0,3.0,3.0,1,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,1,1.0,1.0,2.0,2.0,3,1,0.0,71.28,7.0,4.0,0.0
1388,3101,1,1.0,1,2,6,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,890.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,1.0,2,1120.0,17.0,1.0,9500.0,6.0,81070.0,0.0,4.0,4.0,4.0,1,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,61.0,7.0,4.0,0.0
1390,3101,1,1.0,1,2,3,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1200.0,1,2.0,1,1.0,1,2.0,1.0,3.0,1.0,1.0,2,1370.0,21.0,1.0,9500.0,4.0,76600.0,0.0,4.0,4.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3,1,0.0,47.0,7.0,5.0,0.0
1391,3107,1,1.0,1,4,7,1.0,2.0,2.0,3.0,150.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,1200.0,1,2.0,1,1.0,1,1.0,1.0,3.0,1.0,1.0,7,1350.0,27.0,1.0,9500.0,4.0,60000.0,0.0,4.0,4.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,1,0.0,135.88,6.0,4.0,0.0
1392,3108,4,1.0,1,4,2,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1068.0,1,2.0,1,1.0,1,1.0,1.0,4.0,2.0,3.0,8,1218.0,36.0,1.0,9500.0,1.0,120900.0,0.0,2.0,2.0,2.0,1,1.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,1,0.0,1.0,0.0,0.0,2,1,0.0,221.88,7.0,1.0,0.0
